Weight,Height
63,174
55,168
58,176
63,185
53,167
52,167
70,185
62,177
53,165
54,175
55,165
49,165
65,172
40,150
45,152
48,164
40,159
53,173
42,160
41,155
68,184
47,167
52,170
50,155
56,164
56,171
42,158
56,173
49,163
45,167
45,163
60,188
54,169
46,159
57,178
49,157
48,172
40,150
41,156
59,171
67,177
51,171
56,168
49,166
40,155
50,162
51,165
54,180
63,173
43,152
52,173
51,166
49,163
59,176
59,180
57,179
44,161
55,166
58,173
59,179
52,165
40,168
47,158
40,158
58,178
59,183
45,169
67,180
53,173
48,163
55,173
68,185
52,169
60,185
40,145
57,178
45,170
48,167
60,170
40,150
48,167
53,173
63,184
57,164
46,161
49,164
66,179
56,173
46,164
56,175
52,170
60,179
49,162
49,166
53,166
40,155
55,172
44,172
57,170
52,167
